['2890.2.a.bb', '2890.2.a.t']
['2890.2.a.bc', '2890.2.a.y']
['2890.2.a.bc', '2890.2.a.z']
['2890.2.a.bc', '2890.2.a.s']
['2890.2.a.bc', '2890.2.a.j']
['2890.2.a.bd', '2890.2.a.r']
['2890.2.a.bd', '2890.2.a.k']
['2890.2.a.bd', '2890.2.a.x']
['2890.2.a.bd', '2890.2.a.w']
['2890.2.a.be', '2890.2.a.y']
['2890.2.a.be', '2890.2.a.c']
['2890.2.a.be', '2890.2.a.z']
['2890.2.a.be', '2890.2.a.s']
['2890.2.a.bf', '2890.2.a.r']
['2890.2.a.bf', '2890.2.a.d']
['2890.2.a.bf', '2890.2.a.x']
['2890.2.a.bf', '2890.2.a.w']
['2890.2.a.f', '2890.2.a.w']
['2890.2.a.g', '2890.2.a.y']
['2890.2.a.l', '2890.2.a.z']
['2912.2.a.b', '2912.2.a.m']
['2912.2.a.f', '2912.2.a.p']
['2958.2.a.c', '2958.2.a.m']
['3006.2.a.n', '3006.2.a.q']
['3038.2.a.be', '3038.2.a.v']
['3038.2.a.bi', '3038.2.a.x']
['3048.2.a.e', '3048.2.a.h']
['3050.2.a.c', '3050.2.a.y']
['3050.2.a.j', '3050.2.a.z']
['3179.2.a.c', '3179.2.a.r']
['3179.2.a.g', '3179.2.a.q']
['3179.2.a.m', '3179.2.a.v']
['3179.2.a.n', '3179.2.a.u']
['3225.2.a.q', '3225.2.a.t']
['3249.2.a.s', '3249.2.a.x']
['3249.2.a.w', '3249.2.a.z']
['3283.2.a.m', '3283.2.a.n']
['3286.2.a.f', '3286.2.a.g']
['3306.2.a.h', '3306.2.a.l']
['3318.2.a.h', '3318.2.a.k']
['3350.2.a.g', '3350.2.a.i']
['3366.2.a.bd', '3366.2.a.w']
['3420.2.a.g', '3420.2.a.m']
['3468.2.a.i', '3468.2.a.k']
['3468.2.a.j', '3468.2.a.l']
['3472.2.a.i', '3472.2.a.v']
['3472.2.a.n', '3472.2.a.q']
['348.2.a.b', '5916.2.a.i']
['350.2.a.c', '5950.2.a.bc']
['350.2.a.d', '5950.2.a.bj']
['3509.2.a.j', '3509.2.a.k']
['3552.2.a.c', '3552.2.a.i']
['3552.2.a.d', '3552.2.a.l']
['3555.2.a.h', '3555.2.a.n']
['3626.2.a.a', '3626.2.a.e']
['3626.2.a.bb', '3626.2.a.m']
['3626.2.a.r', '3626.2.a.y']
['3708.2.a.i', '3708.2.a.j']
['3738.2.a.b', '3738.2.a.p']
['3738.2.a.i', '3738.2.a.o']
['3751.2.a.c', '3751.2.a.f']
['3751.2.a.d', '3751.2.a.f']
['3757.2.a.e', '3757.2.a.o']
['3757.2.a.f', '3757.2.a.l']
['3798.2.a.s', '3798.2.a.v']
['382.2.a.c', '6494.2.a.d']
['3825.2.a.bi', '3825.2.a.p']
['3864.2.a.i', '3864.2.a.n']
['3888.2.a.bd', '3888.2.a.be']
['3888.2.a.bf', '3888.2.a.bk']
['3906.2.a.be', '3906.2.a.bn']
['394.2.a.b', '6698.2.a.a']
['395.2.a.a', '395.2.a.g']
['3952.2.a.e', '3952.2.a.s']
['3952.2.a.g', '3952.2.a.q']
['4018.2.a.ba', '4018.2.a.bg']
['402.2.a.g', '6834.2.a.bd']
['4038.2.a.j', '4038.2.a.k']
['4046.2.a.a', '4046.2.a.bd']
['4046.2.a.ba', '4046.2.a.z']
['4046.2.a.bb', '4046.2.a.bg']
['4046.2.a.bc', '4046.2.a.bf']
['4046.2.a.bd', '4046.2.a.y']
['4046.2.a.be', '4046.2.a.g']
['4046.2.a.be', '4046.2.a.z']
['4046.2.a.bf', '4046.2.a.r']
['4046.2.a.bg', '4046.2.a.j']
['4046.2.a.x', '4046.2.a.y']
['4048.2.a.e', '4048.2.a.p']
['4048.2.a.o', '4048.2.a.p']
['4060.2.a.i', '4060.2.a.o']
['4074.2.a.c', '4074.2.a.v']
['4074.2.a.n', '4074.2.a.r']
['4092.2.a.f', '4092.2.a.k']
['4104.2.a.a', '4104.2.a.j']
['4104.2.a.d', '4104.2.a.n']
['4110.2.a.u', '4110.2.a.v']
['4136.2.a.g', '4136.2.a.j']
['4144.2.a.j', '4144.2.a.s']
['4165.2.a.bb', '4165.2.a.q']
['4221.2.a.p', '4221.2.a.q']
['4240.2.a.i', '4240.2.a.u']
['4272.2.a.f', '4272.2.a.m']
['4272.2.a.h', '4272.2.a.u']
['4278.2.a.v', '4278.2.a.w']
['4284.2.a.l', '4284.2.a.o']
['4284.2.a.n', '4284.2.a.s']
['4300.2.a.d', '4300.2.a.e']
['4300.2.a.d', '4300.2.a.f']
['4335.2.a.h', '4335.2.a.r']
['4335.2.a.i', '4335.2.a.t']
['4335.2.a.n', '4335.2.a.r']
['4335.2.a.n', '4335.2.a.u']
['4335.2.a.o', '4335.2.a.v']
['4335.2.a.o', '4335.2.a.t']
['4335.2.a.u', '4335.2.a.w']
['4335.2.a.v', '4335.2.a.x']
['4338.2.a.m', '4338.2.a.q']
['4338.2.a.n', '4338.2.a.r']
['4368.2.a.bq', '4368.2.a.z']
['441.2.a.i', '7497.2.a.bi']
['441.2.a.j', '7497.2.a.bg']
['4410.2.a.bt', '4410.2.a.bw']
['4410.2.a.by', '4410.2.a.bz']
['4428.2.a.h', '4428.2.a.l']
['4428.2.a.i', '4428.2.a.k']
['4437.2.a.n', '4437.2.a.s']
['4446.2.a.bh', '4446.2.a.m']
['4450.2.a.t', '4450.2.a.u']
['4512.2.a.bb', '4512.2.a.u']
['4512.2.a.s', '4512.2.a.y']
['4554.2.a.bi', '4554.2.a.bs']
['4572.2.a.c', '4572.2.a.o']
['4576.2.a.a', '4576.2.a.l']
['4576.2.a.h', '4576.2.a.n']
['4592.2.a.o', '4592.2.a.v']
['4598.2.a.bs', '4598.2.a.d']
['4598.2.a.bv', '4598.2.a.m']
['4624.2.a.ba', '4624.2.a.bn']
['4624.2.a.ba', '4624.2.a.l']
['4624.2.a.ba', '4624.2.a.bd']
['4624.2.a.bb', '4624.2.a.t']
['4624.2.a.bb', '4624.2.a.m']
['4624.2.a.bb', '4624.2.a.bm']
['4624.2.a.bc', '4624.2.a.r']
['4624.2.a.bc', '4624.2.a.s']
['4624.2.a.bd', '4624.2.a.bp']
['4624.2.a.bd', '4624.2.a.bn']
['4624.2.a.be', '4624.2.a.bq']
['4624.2.a.be', '4624.2.a.n']
['4624.2.a.be', '4624.2.a.bl']
['4624.2.a.bf', '4624.2.a.bq']
['4624.2.a.bf', '4624.2.a.n']
['4624.2.a.bf', '4624.2.a.bl']
['4624.2.a.bg', '4624.2.a.bp']
['4624.2.a.bg', '4624.2.a.bj']
['4624.2.a.bg', '4624.2.a.bn']
['4624.2.a.bh', '4624.2.a.r']
['4624.2.a.bh', '4624.2.a.s']
['4624.2.a.bi', '4624.2.a.t']
['4624.2.a.bi', '4624.2.a.m']
['4624.2.a.bi', '4624.2.a.bm']
