['1875.2.a.a', '1875.2.a.e']
['1875.2.a.d', '1875.2.a.h']
['1884.2.a.c', '1884.2.a.d']
['1908.2.a.h', '1908.2.a.k']
['1926.2.a.k', '1926.2.a.q']
['1926.2.a.l', '1926.2.a.n']
['1932.2.a.b', '1932.2.a.h']
['1936.2.a.ba', '1936.2.a.m']
['1936.2.a.ba', '1936.2.a.z']
['1936.2.a.bb', '1936.2.a.g']
['1936.2.a.bb', '1936.2.a.d']
['1936.2.a.bc', '1936.2.a.f']
['1936.2.a.bc', '1936.2.a.e']
['1936.2.a.j', '1936.2.a.n']
['1936.2.a.k', '1936.2.a.o']
['1936.2.a.m', '1936.2.a.z']
['1936.2.a.n', '1936.2.a.y']
['1936.2.a.o', '1936.2.a.v']
['1936.2.a.p', '1936.2.a.u']
['1936.2.a.p', '1936.2.a.x']
['1936.2.a.q', '1936.2.a.w']
['1936.2.a.q', '1936.2.a.t']
['1936.2.a.t', '1936.2.a.w']
['1936.2.a.u', '1936.2.a.x']
['1962.2.a.f', '1962.2.a.g']
['1968.2.a.o', '1968.2.a.w']
['1984.2.a.n', '1984.2.a.s']
['1984.2.a.o', '1984.2.a.r']
['1986.2.a.a', '1986.2.a.h']
['199.2.a.a', '2189.2.a.c']
['1995.2.a.b', '1995.2.a.n']
['1995.2.a.h', '1995.2.a.t']
['200.2.a.a', '2200.2.a.q']
['200.2.a.e', '2200.2.a.p']
['2000.2.a.a', '2000.2.a.c']
['2000.2.a.j', '2000.2.a.l']
['2025.2.a.g', '2025.2.a.j']
['2025.2.a.j', '2025.2.a.m']
['2030.2.a.b', '2030.2.a.n']
['2032.2.a.g', '2032.2.a.i']
['2034.2.a.l', '2034.2.a.m']
['2039.2.a.c', '2039.2.a.d']
['2057.2.a.h', '2057.2.a.i']
['2057.2.a.h', '2057.2.a.q']
['2057.2.a.i', '2057.2.a.q']
['2057.2.a.j', '2057.2.a.r']
['2057.2.a.j', '2057.2.a.t']
['2057.2.a.k', '2057.2.a.u']
['2057.2.a.k', '2057.2.a.q']
['2057.2.a.m', '2057.2.a.n']
['2057.2.a.m', '2057.2.a.t']
['2057.2.a.n', '2057.2.a.t']
['2057.2.a.q', '2057.2.a.u']
['2057.2.a.r', '2057.2.a.t']
['2065.2.a.d', '2065.2.a.i']
['2065.2.a.d', '2065.2.a.e']
['2068.2.a.f', '2068.2.a.i']
['207.2.a.c', '207.2.a.d']
['2096.2.a.g', '2096.2.a.k']
['2110.2.a.g', '2110.2.a.k']
['2118.2.a.i', '2118.2.a.j']
['2118.2.a.m', '2118.2.a.p']
['2128.2.a.b', '2128.2.a.c']
['2145.2.a.g', '2145.2.a.o']
['2150.2.a.ba', '2150.2.a.y']
['2150.2.a.s', '2150.2.a.u']
['2156.2.a.f', '2156.2.a.l']
['2170.2.a.bc', '2170.2.a.r']
['2175.2.a.l', '2175.2.a.o']
['2177.2.a.a', '2177.2.a.c']
['2178.2.a.ba', '2178.2.a.w']
['2178.2.a.ba', '2178.2.a.bc']
['2178.2.a.bb', '2178.2.a.i']
['2178.2.a.bb', '2178.2.a.k']
['2178.2.a.bc', '2178.2.a.z']
['2178.2.a.c', '2178.2.a.t']
['2178.2.a.d', '2178.2.a.t']
['2178.2.a.e', '2178.2.a.o']
['2178.2.a.f', '2178.2.a.p']
['2178.2.a.j', '2178.2.a.v']
['2178.2.a.l', '2178.2.a.x']
['2178.2.a.n', '2178.2.a.q']
['2178.2.a.n', '2178.2.a.r']
['2178.2.a.o', '2178.2.a.s']
['2178.2.a.p', '2178.2.a.s']
['2178.2.a.q', '2178.2.a.u']
['2178.2.a.r', '2178.2.a.u']
['2178.2.a.v', '2178.2.a.y']
['2178.2.a.w', '2178.2.a.z']
['2178.2.a.x', '2178.2.a.y']
['218.2.a.c', '218.2.a.d']
