['1240.2.a.k', '8680.2.a.o']
['1251.2.a.g', '8757.2.a.g']
['1251.2.a.h', '8757.2.a.i']
['1254.2.a.q', '8778.2.a.bm']
['1258.2.a.h', '8806.2.a.e']
['1260.2.a.g', '1260.2.a.h']
['1264.2.a.c', '8848.2.a.k']
['1266.2.a.i', '1266.2.a.k']
['1272.2.a.h', '8904.2.a.c']
['1274.2.a.b', '1274.2.a.t']
['1274.2.a.b', '1274.2.a.d']
['1274.2.a.c', '1274.2.a.r']
['1274.2.a.d', '1274.2.a.t']
['1274.2.a.e', '1274.2.a.t']
['1274.2.a.f', '1274.2.a.u']
['1274.2.a.g', '1274.2.a.s']
['1274.2.a.i', '1274.2.a.q']
['1274.2.a.k', '1274.2.a.v']
['1274.2.a.m', '1274.2.a.w']
['1274.2.a.n', '1274.2.a.p']
['1274.2.a.o', '1274.2.a.p']
['1274.2.a.r', '1274.2.a.u']
['1274.2.a.s', '1274.2.a.t']
['1275.2.a.c', '8925.2.a.m']
['1275.2.a.e', '8925.2.a.q']
['1278.2.a.b', '8946.2.a.bh']
['1278.2.a.e', '1278.2.a.t']
['1278.2.a.g', '1278.2.a.o']
['1278.2.a.k', '8946.2.a.bs']
['1278.2.a.m', '8946.2.a.e']
['1278.2.a.o', '8946.2.a.r']
['1278.2.a.q', '8946.2.a.u']
['1288.2.a.a', '1288.2.a.o']
['1288.2.a.i', '1288.2.a.k']
['1290.2.a.f', '1290.2.a.i']
['1290.2.a.l', '9030.2.a.bu']
['1290.2.a.q', '9030.2.a.bw']
['1290.2.a.q', '9030.2.a.q']
['1296.2.a.b', '9072.2.a.bv']
['1296.2.a.k', '9072.2.a.by']
['1298.2.a.g', '9086.2.a.g']
['1302.2.a.o', '1302.2.a.u']
['1314.2.a.i', '9198.2.a.b']
['1314.2.a.j', '9198.2.a.k']
['1314.2.a.k', '9198.2.a.s']
['1314.2.a.k', '9198.2.a.r']
['1314.2.a.k', '1314.2.a.l']
['1314.2.a.l', '9198.2.a.s']
['1314.2.a.l', '9198.2.a.r']
['1320.2.a.p', '9240.2.a.cb']
['1320.2.a.p', '9240.2.a.h']
['1320.2.a.q', '9240.2.a.bt']
['1320.2.a.q', '9240.2.a.bw']
['1323.2.a.a', '1323.2.a.ba']
['1323.2.a.ba', '1323.2.a.be']
['1323.2.a.bb', '1323.2.a.x']
['1323.2.a.bb', '1323.2.a.z']
['1323.2.a.bc', '1323.2.a.u']
['1323.2.a.bd', '1323.2.a.v']
['1323.2.a.be', '1323.2.a.y']
['1323.2.a.c', '1323.2.a.z']
['1323.2.a.d', '1323.2.a.f']
['1323.2.a.e', '1323.2.a.g']
['1323.2.a.i', '1323.2.a.k']
['1323.2.a.m', '1323.2.a.o']
['1323.2.a.n', '1323.2.a.p']
['1323.2.a.q', '1323.2.a.y']
['1323.2.a.s', '1323.2.a.x']
['1325.2.a.i', '1325.2.a.o']
['1325.2.a.j', '1325.2.a.q']
['1328.2.a.b', '9296.2.a.g']
['133.2.a.d', '19.2.a.a']
['1330.2.a.c', '190.2.a.a']
['1330.2.a.u', '190.2.a.c']
['1334.2.a.d', '9338.2.a.e']
['1350.2.a.h', '9450.2.a.bc']
['1350.2.a.r', '9450.2.a.dv']
['1356.2.a.d', '1356.2.a.e']
['1360.2.a.d', '1360.2.a.o']
['1360.2.a.o', '9520.2.a.b']
['1365.2.a.s', '195.2.a.c']
['1368.2.a.a', '1368.2.a.o']
['1368.2.a.j', '1368.2.a.m']
['1369.2.a.c', '9583.2.a.e']
['1370.2.a.a', '9590.2.a.q']
['1378.2.a.h', '9646.2.a.c']
['138.2.a.c', '6762.2.a.cn']
['1380.2.a.d', '1380.2.a.i']
['1392.2.a.c', '9744.2.a.z']
['1392.2.a.d', '9744.2.a.bs']
['1392.2.a.e', '9744.2.a.bt']
['1392.2.a.g', '9744.2.a.x']
['1392.2.a.j', '9744.2.a.bl']
['1392.2.a.k', '9744.2.a.r']
['1392.2.a.m', '9744.2.a.ba']
['1408.2.a.g', '9856.2.a.f']
['1408.2.a.g', '9856.2.a.ba']
['1408.2.a.h', '9856.2.a.e']
['1408.2.a.h', '9856.2.a.bb']
['1408.2.a.l', '9856.2.a.l']
['1408.2.a.l', '9856.2.a.m']
['1408.2.a.o', '9856.2.a.k']
['1408.2.a.o', '9856.2.a.n']
['1410.2.a.g', '1410.2.a.i']
['142.2.a.a', '994.2.a.n']
['142.2.a.e', '994.2.a.l']
['1420.2.a.d', '9940.2.a.f']
['1420.2.a.e', '9940.2.a.i']
['1421.2.a.i', '1421.2.a.m']
