['1476.2.a.d', '1476.2.a.g']
['1552.2.a.g', '1552.2.a.i']
['1662.2.a.c', '1662.2.a.g']
['2275.2.a.m', '2275.2.a.p']
['3030.2.a.x', '3030.2.a.z']
['3114.2.a.n', '3114.2.a.o']
['3816.2.a.h', '3816.2.a.k']
['4275.2.a.bc', '4275.2.a.bp']
['4275.2.a.bl', '4275.2.a.bp']
['4494.2.a.s', '4494.2.a.t']
['4880.2.a.u', '4880.2.a.v']
['4986.2.a.c', '4986.2.a.e']
['5112.2.a.i', '5112.2.a.m']
['5635.2.a.s', '5635.2.a.v']
['5904.2.a.ba', '5904.2.a.bp']
['5915.2.a.l', '5915.2.a.m']
['5985.2.a.v', '5985.2.a.w']
['6030.2.a.br', '6030.2.a.bs']
['6208.2.a.o', '6208.2.a.q']
['6208.2.a.p', '6208.2.a.r']
['7470.2.a.bc', '7470.2.a.bq']
['7632.2.a.bh', '7632.2.a.bo']
['9090.2.a.bf', '9090.2.a.bi']
['9245.2.a.f', '9245.2.a.j']
['9245.2.a.g', '9245.2.a.i']
['9350.2.a.bw', '9350.2.a.ca']
