5:1058.2.a.a:[-1, -2, -3, -2, -6, -1, -6, -2, 0, -9, -4, -2, -9, 4, 6, -3, 6, 1, -8, 6, 11, -8, 0, 9, 1, -9, 4, -6, -11, -3]:[-1, -2, -3, -2, -6, -1, -6, -2, 0, -9, -4, -2, -9, 4, 6, -3, 6, 1, -8, 6, 11, -8, 0, 9, 1, -9, 4, -6, -11, -3]:1058.2.a.e:[-1, 3, 2, -2, 4, 4, -1, -7, 0, -4, 6, -2, 6, -1, 6, -8, -9, -4, 7, 6, -9, 12, -5, -6, 6, -4, 14, 4, -6, 17]:[-1, 3, 2, -2, 4, 4, -1, -7, 0, -4, 6, -2, 6, -1, 6, -8, -9, -4, 7, 6, -9, 12, -5, -6, 6, -4, 14, 4, -6, 17]
5:1246.2.a.a:[-1, -3, -3, -1, 0, -6, -3, -7, -5, -2, -7, -12, 6, -7, -2, 5, 4, -6, 2, 2, 13, -8, -12, 1, 3, -2, 1, 8, -3, 8]:[-1, -3, -3, -1, 0, -6, -3, -7, -5, -2, -7, -12, 6, -7, -2, 5, 4, -6, 2, 2, 13, -8, -12, 1, 3, -2, 1, 8, -3, 8]:1246.2.a.g:[-1, 2, 2, -1, 0, 4, 2, -2, 0, 8, 8, 8, 6, -2, 8, -10, -6, 4, -8, -8, -2, -8, -2, 1, -2, 8, -4, 8, -18, 18]:[-1, 2, 2, -1, 0, 4, 2, -2, 0, 8, 8, 8, 6, -2, 8, -10, -6, 4, -8, -8, -2, -8, -2, 1, -2, 8, -4, 8, -18, 18]
5:1664.2.a.a:[0, -3, -3, -1, -4, -1, -7, -6, -6, 0, -8, 9, -6, -5, -5, -6, 0, 2, 2, 9, 8, 8, -4, 14, -16, 4, 16, -12, 5, -18]:[0, -3, -3, -1, -4, -1, -7, -6, -6, 0, -8, 9, -6, -5, -5, -6, 0, 2, 2, 9, 8, 8, -4, 14, -16, 4, 16, -12, 5, -18]:1664.2.a.r:[0, 2, 2, 4, 6, -1, -2, -6, 4, 10, -8, -6, -6, -10, 0, -6, -10, 2, 2, 4, -2, 8, -14, 14, 14, -6, -4, -2, 10, 2]:[0, 2, 2, 4, 6, -1, -2, -6, 4, 10, -8, -6, -6, -10, 0, -6, -10, 2, 2, 4, -2, 8, -14, 14, 14, -6, -4, -2, 10, 2]
5:2366.2.a.a:[-1, -2, -3, 1, -6, 0, -3, -4, -6, 3, -10, -1, -3, -10, 0, -9, -6, -7, 2, 0, -7, 14, -18, -6, 2, -3, -4, 0, 2, 3]:[-1, -2, -3, 1, -6, 0, -3, -4, -6, 3, -10, -1, -3, -10, 0, -9, -6, -7, 2, 0, -7, 14, -18, -6, 2, -3, -4, 0, 2, 3]:2366.2.a.g:[-1, 3, -3, 1, 4, 0, 2, -4, -1, -2, 10, 4, 12, 0, -10, -4, 9, 13, 2, -15, -2, 4, -8, 14, 2, -18, 6, 10, 12, -2]:[-1, 3, -3, 1, 4, 0, 2, -4, -1, -2, 10, 4, 12, 0, -10, -4, 9, 13, 2, -15, -2, 4, -8, 14, 2, -18, 6, 10, 12, -2]
5:2574.2.a.a:[-1, 0, -4, -4, -1, -1, -4, -4, -8, 0, -6, -10, 2, -10, -12, 2, 8, -2, -14, 8, 2, 10, 4, -12, 6, 0, -12, 12, 14, 6]:[-1, 0, -4, -4, -1, -1, -4, -4, -8, 0, -6, -10, 2, -10, -12, 2, 8, -2, -14, 8, 2, 10, 4, -12, 6, 0, -12, 12, 14, 6]:2574.2.a.j:[-1, 0, 1, 1, -1, -1, -4, 6, -3, 5, 4, 10, 7, -5, 8, 2, 3, 13, -9, -2, -3, 10, 14, 8, -14, 10, 13, -3, -16, -9]:[-1, 0, 1, 1, -1, -1, -4, 6, -3, 5, 4, 10, 7, -5, 8, 2, 3, 13, -9, -2, -3, 10, 14, 8, -14, 10, 13, -3, -16, -9]
5:2736.2.a.a:[0, 0, -4, -4, -4, -4, -6, -1, -6, -2, -2, 4, 6, -4, -2, 6, -4, -10, -8, 0, -2, -14, -16, 18, 14, -12, 2, -12, -16, -2]:[0, 0, -4, -4, -4, -4, -6, -1, -6, -2, -2, 4, 6, -4, -2, 6, -4, -10, -8, 0, -2, -14, -16, 18, 14, -12, 2, -12, -16, -2]:2736.2.a.bb:[0, 0, 1, 3, 3, 12, -1, -2, 8, -4, -6, 6, -6, -1, 5, 12, -8, 9, 24, 0, 7, -4, 4, 0, -12, -8, 6, -2, 6, 36]:[0, 0, -10, -8, -8, 36, -10, 1, 16, 4, -32, -32, -32, -92, -4, 36, 16, 10, 144, 0, 2, -160, -160, -164, 36, -148, -32, -40, -32, 324]
5:2834.2.a.c:[1, -2, -3, -4, -5, -1, -4, -7, -9, 3, 10, -2, -4, 4, -13, -6, -12, 15, -8, 12, -7, -12, -4, -13, 7, -6, -7, 7, -1, 14]:[1, -2, -3, -4, -5, -1, -4, -7, -9, 3, 10, -2, -4, 4, -13, -6, -12, 15, -8, 12, -7, -12, -4, -13, 7, -6, -7, 7, -1, 14]:2834.2.a.e:[1, 3, 2, 1, -5, -1, 6, 3, -4, 8, -5, -12, -9, 4, -8, 9, -7, 10, -8, 7, 8, 8, 6, 12, 2, -11, -17, 2, -1, 14]:[1, 3, 2, 1, -5, -1, 6, 3, -4, 8, -5, -12, -9, 4, -8, 9, -7, 10, -8, 7, 8, 8, 6, 12, 2, -11, -17, 2, -1, 14]
5:3384.2.a.a:[0, 0, -3, -5, -3, -6, -2, -2, 3, 1, -10, -11, -10, 2, -1, 0, 8, -10, -2, 6, -2, -1, -4, 14, -15, -4, 5, 1, 6, 18]:[0, 0, -3, -5, -3, -6, -2, -2, 3, 1, -10, -11, -10, 2, -1, 0, 8, -10, -2, 6, -2, -1, -4, 14, -15, -4, 5, 1, 6, 18]:3384.2.a.f:[0, 0, 2, 0, 2, 4, -2, 8, 8, 6, -10, -6, 0, -8, -1, -10, 8, 10, 8, 16, -2, 4, 16, -6, -10, 6, -20, 6, 16, -12]:[0, 0, 2, 0, 2, 4, -2, 8, 8, 6, -10, -6, 0, -8, -1, -10, 8, 10, 8, 16, -2, 4, 16, -6, -10, 6, -20, 6, 16, -12]
5:3952.2.a.d:[0, 0, -3, -3, -3, -1, -7, -1, 0, -8, -2, -8, 2, -1, 7, -4, 12, -9, -2, -4, -13, -6, -4, -6, 4, 6, -12, 20, 4, 18]:[0, 0, -3, -3, -3, -1, -7, -1, 0, -8, -2, -8, 2, -1, 7, -4, 12, -9, -2, -4, -13, -6, -4, -6, 4, 6, -12, 20, 4, 18]:3952.2.a.g:[0, 0, 2, 2, 2, -1, -7, -1, 5, 2, 3, 7, 7, 9, 2, 6, -3, 11, 3, 16, 2, 4, 6, -6, -11, 11, 8, -10, -1, -12]:[0, 0, 2, 2, 2, -1, -7, -1, 5, 2, 3, 7, 7, 9, 2, 6, -3, 11, 3, 16, 2, 4, 6, -6, -11, 11, 8, -10, -1, -12]
5:4092.2.a.a:[0, -1, -3, -3, -1, -2, -4, -7, -2, -10, -1, 0, -7, 2, 0, -2, 9, 10, -16, -15, -6, -10, 0, -18, -7, 15, 13, 13, -7, -15]:[0, -1, -3, -3, -1, -2, -4, -7, -2, -10, -1, 0, -7, 2, 0, -2, 9, 10, -16, -15, -6, -10, 0, -18, -7, 15, 13, 13, -7, -15]:4092.2.a.d:[0, -1, 2, 2, -1, -2, -4, -2, 8, 0, -1, 10, 8, 2, 0, -2, 4, 10, 4, 0, 14, 10, 0, 2, -2, 0, -12, 8, -2, -10]:[0, -1, 2, 2, -1, -2, -4, -2, 8, 0, -1, 10, 8, 2, 0, -2, 4, 10, 4, 0, 14, 10, 0, 2, -2, 0, -12, 8, -2, -10]
